"local","tipo","hora","tot"
"Entrada","4",8,515
"Entrada","4",9,567
"Entrada","4",10,438
"Entrada","4",11,352
"Entrada","4",12,421
"Entrada","4",13,423
"Entrada","4",14,495
"Entrada","4",15,614
"Entrada","4",16,432
"Entrada","4",17,325
"Entrada","4",18,271
"Entrada","4",19,200
"Entrada","4",20,34
"Palco Getnet","1",8,503
"Palco Getnet","1",9,628
"Palco Getnet","1",10,537
"Palco Getnet","1",11,427
"Palco Getnet","1",12,402
"Palco Getnet","1",13,406
"Palco Getnet","1",14,434
"Palco Getnet","1",15,393
"Palco Getnet","1",16,427
"Palco Getnet","1",17,381
"Palco Getnet","1",18,1028
"Palco Getnet","1",19,1533
"Palco Getnet","1",20,458
"Corredor","2",8,600
"Corredor","2",9,771
"Corredor","2",10,592
"Corredor","2",11,496
"Corredor","2",12,574
"Corredor","2",13,592
"Corredor","2",14,684
"Corredor","2",15,630
"Corredor","2",16,508
"Corredor","2",17,472
"Corredor","2",18,454
"Corredor","2",19,171
"Corredor","2",20,76
"Restaurante","3",8,124
"Restaurante","3",9,137
"Restaurante","3",10,110
"Restaurante","3",11,357
"Restaurante","3",12,492
"Restaurante","3",13,330
"Restaurante","3",14,276
"Restaurante","3",15,268
"Restaurante","3",16,139
"Restaurante","3",17,127
"Restaurante","3",18,44
"Restaurante","3",19,1
"Restaurante","3",20,4