group,variable,value
08,Dia 02/08,222
09,Dia 02/08,391
10,Dia 02/08,395
11,Dia 02/08,612
12,Dia 02/08,667
13,Dia 02/08,504
14,Dia 02/08,584
15,Dia 02/08,270
16,Dia 02/08,315
17,Dia 02/08,226
18,Dia 02/08,263
19,Dia 02/08,251
20,Dia 02/08,97
08,Dia 01/08,274
09,Dia 01/08,430
10,Dia 01/08,543
11,Dia 01/08,485
12,Dia 01/08,338
13,Dia 01/08,421
14,Dia 01/08,382
15,Dia 01/08,484
16,Dia 01/08,663
17,Dia 01/08,520
18,Dia 01/08,480
19,Dia 01/08,135
20,Dia 01/08,49
08,Dia 31/07,515
09,Dia 31/07,567
10,Dia 31/07,438
11,Dia 31/07,352
12,Dia 31/07,421
13,Dia 31/07,423
14,Dia 31/07,495
15,Dia 31/07,614
16,Dia 31/07,432
17,Dia 31/07,325
18,Dia 31/07,271
19,Dia 31/07,200
20,Dia 31/07,34